as_of,imo,vessel_name,bucket,soh_pos,reason,last_cross_ts,last_cross_dir,loading_state_soh,cargo_group,crossing_type,last_load_ts,last_load_end_ts,last_load_origin,last_load_dest,last_load_status,last_load_source,origin_bucket,dest_bucket,grade,berth_confirmed,volume_bbl,days_inside,days_since_load,days_load_to_exit,expected_lag_days,alert_lag_days,afra_class,deadweight,fleet,sanctioned_iran,sanctioned_sdn,is_dark_route,crude_relevant,watchlist,sts_flag,sts_role,sts_zone,sts_ts,sts_lag_days,sts_counterparty,sts_counterparty_imo,sts_volume_bbl
2026-08-16,9239927,DAFFODIL,conflict,outside,Kpler loaded at MAA Refinery on 2026-04-20 but SoH recorded a ballast exit on 2026-06-21.,2026-06-21,Exited MEG,Ballast,ballast,Dark/Unknown Route,2026-04-20 19:19:00,2026-04-20 19:19:00,MAA Refinery,ENOC Condensate Refinery,Delivered,trade,inside_gulf,inside_gulf,Kuwait SLt.,1.0,678003.0,,118.0,62.0,3.0,7.0,AFRA,99999.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9406166,GRAND LADY,exit_no_load,outside,SoH laden crude exit on 2026-08-04 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-08-04,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-01 00:00:00,2026-07-01 00:00:00,Al Basrah,Ain Sukhna,Delivered,trade,inside_gulf,outside,Basrah,1.0,1074079.0,,46.0,34.0,3.0,7.0,VLCC,299999.0,clean fleet,False,False,1.0,True,True,receiver_after_exit,receiver,Fujairah Light,2026-08-07 00:00:00,3,Giannis,9432050,1074079
2026-08-16,9928009,HAFEET,exit_no_load,outside,SoH laden crude exit on 2026-07-23 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-23,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-01 15:59:00,2026-07-01 15:59:00,Umm Lulu,Sriracha,Delivered,trade,inside_gulf,outside,Umm Lulu,1.0,1996461.0,,46.0,22.0,3.0,7.0,VLCC,299425.0,clean fleet,False,False,1.0,True,True,receiver_after_exit,receiver,Fujairah Light,2026-08-05 00:00:00,13,Monaco Loyalty,9312511,1996461
2026-08-16,9324100,VADIN,exit_no_load,outside,SoH laden crude exit on 2026-08-10 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-08-10,Exited MEG,Laden,crude,Dark/Unknown Route,2026-07-06 01:33:00,2026-07-06 01:33:00,Mina Al-Ahmadi,Made Island,Delivered,trade,inside_gulf,outside,Kuwait,1.0,2000002.0,,41.0,35.0,3.0,7.0,VLCC,302478.0,clean fleet,False,False,1.0,True,True,receiver_after_exit,receiver,Fujairah Light,2026-08-12 19:19:00,2,Front Spey,1087500,2000002
2026-08-16,1028762,STOIC WARRIOR,exit_no_load,outside,SoH laden crude exit on 2026-06-25 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-25,Exited MEG,Laden,crude,Omani Route,,,,,,,,,,0.0,1012911.0,,,,3.0,7.0,LR2,156885.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9172038,SINOPA,exit_no_load,outside,SoH laden crude exit on 2026-07-14 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-14,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,1015490.0,,,,3.0,7.0,LR2,159681.0,dark fleet,True,True,1.0,True,True,,,,,,,,
2026-08-16,9237618,STAR LINE,exit_no_load,outside,SoH laden crude exit on 2026-06-23 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-23,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,716208.0,,,,3.0,7.0,AFRA,105716.0,dark fleet,True,True,1.0,True,True,,,,,,,,
2026-08-16,9239848,OBA,exit_no_load,outside,SoH laden crude exit on 2026-06-21 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-21,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,734996.0,,,,3.0,7.0,LR2,150103.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9248497,URI,exit_no_load,outside,SoH laden crude exit on 2026-06-21 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-21,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2000002.0,,,,3.0,7.0,VLCC,299164.0,dark fleet,True,True,1.0,True,True,,,,,,,,
2026-08-16,9297498,DESH VAIBHAV,exit_no_load,outside,SoH laden crude exit on 2026-06-19 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-19,Exited MEG,Laden,crude,Iranian Route,,,,,,,,,,0.0,2013123.0,,,,3.0,7.0,VLCC,316409.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9321213,TOWADA,exit_no_load,outside,SoH laden crude exit on 2026-07-07 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-07,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2099998.0,,,,3.0,7.0,VLCC,305801.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9330563,SANMAR HERALD,exit_no_load,outside,SoH laden crude exit on 2026-06-20 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-20,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2005393.0,,,,3.0,7.0,VLCC,309000.0,clean fleet,False,False,1.0,True,True,unknown_partner,receiver,Gulf of Oman,2026-07-27 00:00:00,37,,,1999996
2026-08-16,9340635,TORKEL,exit_no_load,outside,SoH laden crude exit on 2026-07-29 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-29,Exited MEG,Laden,crude,Omani Route,,,,,,,,,,0.0,1990844.0,,,,3.0,7.0,VLCC,297259.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9343390,TENJUN,exit_no_load,outside,SoH laden crude exit on 2026-07-07 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-07,Exited MEG,Laden,crude,Iranian Route,,,,,,,,,,0.0,2011727.0,,,,3.0,7.0,VLCC,302107.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9358280,PLATA CARRIER,exit_no_load,outside,SoH laden crude exit on 2026-06-24 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-24,Exited MEG,Laden,crude,Omani Route,,,,,,,,,,0.0,2057944.0,,,,3.0,7.0,VLCC,307284.0,clean fleet,False,False,0.0,True,True,giver_after_exit,giver,Fujairah Light,2026-08-15 00:00:00,52,Bahamas Prosperity,9327114,1959999
2026-08-16,9362061,HAWK,exit_no_load,outside,SoH laden crude exit on 2026-07-13 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-13,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2077681.0,,,,3.0,7.0,VLCC,317367.0,dark fleet,True,True,1.0,True,True,,,,,,,,
2026-08-16,9362877,YAKUMOSAN,exit_no_load,outside,SoH laden crude exit on 2026-07-06 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-06,Exited MEG,Laden,crude,IMO Route,,,,,,,,,,0.0,1979994.0,,,,3.0,7.0,VLCC,302165.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9364112,TOUR 2,exit_no_load,outside,SoH laden crude exit on 2026-08-01 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-08-01,Exited MEG,Laden,crude,Iranian Route,,,,,,,,,,0.0,751324.0,,,,3.0,7.0,LR2,158817.0,dark fleet,True,True,0.0,True,True,,,,,,,,
2026-08-16,9378541,JAHAM,exit_no_load,outside,SoH laden crude exit on 2026-06-18 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-18,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2139252.0,,,,3.0,7.0,VLCC,318000.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9385037,LONG WIND,exit_no_load,outside,SoH laden crude exit on 2026-07-04 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-04,Exited MEG,Laden,crude,IMO Route,,,,,,,,,,0.0,2069995.0,,,,3.0,7.0,ULCC,320141.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9395290,MERCURY HOPE,exit_no_load,outside,SoH laden crude exit on 2026-07-08 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-08,Exited MEG,Laden,crude,IMO Route,,,,,,,,,,0.0,1799999.0,,,,3.0,7.0,VLCC,297221.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9397157,AZUMASAN,exit_no_load,outside,SoH laden crude exit on 2026-07-06 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-06,Exited MEG,Laden,crude,IMO Route,,,,,,,,,,0.0,1999996.0,,,,3.0,7.0,VLCC,302068.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9438418,NORDIC CROSS,exit_no_load,outside,SoH laden crude exit on 2026-06-22 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-22,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,1036888.0,,,,3.0,7.0,LR2,158475.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9468853,OLYMPIC TARGET,exit_no_load,outside,SoH laden crude exit on 2026-06-21 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-21,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2039320.0,,,,3.0,7.0,VLCC,319861.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9519482,KIDAN,exit_no_load,outside,SoH laden crude exit on 2026-06-20 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-20,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,1899994.0,,,,3.0,7.0,ULCC,321050.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9519717,AWTAD,exit_no_load,outside,SoH laden crude exit on 2026-06-18 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-18,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,1999996.0,,,,3.0,7.0,VLCC,309988.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9567659,OMEGA TRADER,exit_no_load,outside,SoH laden crude exit on 2026-07-06 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-06,Exited MEG,Laden,crude,Iranian Route,,,,,,,,,,0.0,1990649.0,,,,3.0,7.0,VLCC,305206.0,clean fleet,False,False,0.0,True,True,giver_after_exit,giver,Fujairah Light,2026-08-05 00:00:00,30,Umm Al Aish,9534781,2000002
2026-08-16,9583720,ALMI HYDRA,exit_no_load,outside,SoH laden crude exit on 2026-06-25 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-25,Exited MEG,Laden,crude,Omani Route,,,,,,,,,,0.0,2000002.0,,,,3.0,7.0,VLCC,319357.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9602928,DUBAI ENERGY,exit_no_load,outside,SoH laden crude exit on 2026-06-23 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-23,Exited MEG,Laden,crude,Omani Route,,,,,,,,,,0.0,1963006.0,,,,3.0,7.0,VLCC,319063.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9610298,DESH VIBHOR,exit_no_load,outside,SoH laden crude exit on 2026-06-20 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-20,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2122987.0,,,,3.0,7.0,VLCC,316635.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9683685,VL PRIME,exit_no_load,outside,SoH laden crude exit on 2026-06-24 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-24,Exited MEG,Laden,crude,Omani Route,,,,,,,,,,0.0,1849997.0,,,,3.0,7.0,VLCC,319547.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9753545,PRUDENT WARRIOR,exit_no_load,outside,SoH laden crude exit on 2026-06-24 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-24,Exited MEG,Laden,crude,Omani Route,,,,,,,,,,0.0,1017710.0,,,,3.0,7.0,LR2,149995.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9779848,SHADEN,exit_no_load,outside,SoH laden crude exit on 2026-06-18 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-18,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2066813.0,,,,3.0,7.0,VLCC,298750.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9785835,MONTE URBASA,exit_no_load,outside,SoH laden crude exit on 2026-06-23 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-23,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,999998.0,,,,3.0,7.0,LR2,156400.0,clean fleet,False,False,1.0,True,True,giver_after_exit,giver,Fujairah Light,2026-07-25 18:39:00,32,Nissos Kea,9920758,1067997
2026-08-16,9788887,GULF SUNRISE,exit_no_load,outside,SoH laden crude exit on 2026-06-21 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-21,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2062209.0,,,,3.0,7.0,VLCC,301528.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9793741,GEM NO.5,exit_no_load,outside,SoH laden crude exit on 2026-07-04 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-04,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2055007.0,,,,3.0,7.0,VLCC,302650.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9794018,MIRACLE HOPE,exit_no_load,outside,SoH laden crude exit on 2026-07-06 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-06,Exited MEG,Laden,crude,IMO Route,,,,,,,,,,0.0,2130648.0,,,,3.0,7.0,VLCC,318747.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9794824,UNIVERSAL GLORY,exit_no_load,outside,SoH laden crude exit on 2026-06-23 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-23,Exited MEG,Laden,crude,Iranian Route,,,,,,,,,,0.0,1999996.0,,,,3.0,7.0,VLCC,301123.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9802188,TONEGAWA,exit_no_load,outside,SoH laden crude exit on 2026-07-07 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-07,Exited MEG,Laden,crude,IMO Route,,,,,,,,,,0.0,1999996.0,,,,3.0,7.0,VLCC,312667.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9830812,MAJRA,exit_no_load,outside,SoH laden crude exit on 2026-06-21 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-21,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,2099998.0,,,,3.0,7.0,ULCC,320784.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9832262,FRONT SHANGHAI,exit_no_load,outside,SoH laden crude exit on 2026-06-24 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-24,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,1017754.0,,,,3.0,7.0,LR2,158006.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9839856,MAYASAN,exit_no_load,outside,SoH laden crude exit on 2026-07-06 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-06,Exited MEG,Laden,crude,IMO Route,,,,,,,,,,0.0,1689418.0,,,,3.0,7.0,VLCC,312006.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9845130,FRONT SAMARA,exit_no_load,outside,SoH laden crude exit on 2026-06-27 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-27,Exited MEG,Laden,crude,Dark/Unknown Route,,,,,,,,,,0.0,963328.0,,,,3.0,7.0,LR2,158018.0,clean fleet,False,False,1.0,True,True,,,,,,,,
2026-08-16,9851593,TENZAN,exit_no_load,outside,SoH laden crude exit on 2026-06-18 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-06-18,Exited MEG,Laden,crude,Iranian Route,,,,,,,,,,0.0,1799999.0,,,,3.0,7.0,VLCC,312524.0,clean fleet,False,False,0.0,True,True,,,,,,,,
2026-08-16,9874222,DAISEN,exit_no_load,outside,SoH laden crude exit on 2026-07-06 with no matching inside-gulf Kpler load in the 21d before the crossing.,2026-07-06,Exited MEG,Laden,crude,Iranian Route,,,,,,,,,,0.0,1899994.0,,,,3.0,7.0,VLCC,311681.0,clean fleet,False,False,0.0,True,True,,,,,,,,
